patient	seed
GSE56140_cirr	ABCB4
GSE56140_cirr	A2M
GSE56140_cirr	ACAA2
GSE56140_cirr	ACADM
GSE56140_cirr	ADAMTSL2
GSE56140_cirr	ACSM2B
GSE56140_cirr	ADCY3
GSE56140_cirr	ABCA6
