from	to	value	id
CENPH	CENPK	0.8260402908719086	GSE62232_hep_carci
ANLN	CENPL	0.8825864301774116	GSE62232_hep_carci
ASPM	CENPL	0.8733901345530047	GSE62232_hep_carci
BUB1B	CENPL	0.8566717515053045	GSE62232_hep_carci
CCNA2	CENPL	0.8232069160801717	GSE62232_hep_carci
CCNB1	CENPL	0.8059341656705352	GSE62232_hep_carci
CDC6	CENPL	0.810586469495622	GSE62232_hep_carci
CDK1	CENPL	0.8688852260546278	GSE62232_hep_carci
CDKN3	CENPL	0.8469894764501061	GSE62232_hep_carci
BUB1B	CENPW	0.8284655877984912	GSE62232_hep_carci
ANLN	CEP55	0.8052512248154869	GSE62232_hep_carci
BUB1B	CEP55	0.8746295400114485	GSE62232_hep_carci
CCNA2	CEP55	0.8240441547078491	GSE62232_hep_carci
CCNB1	CEP55	0.8037881848761255	GSE62232_hep_carci
CDK1	CEP55	0.8477482329200433	GSE62232_hep_carci
CENPL	CEP55	0.8094347628265396	GSE62232_hep_carci
CFHR3	CFHR4	0.9313226210774739	GSE62232_hep_carci
CCNB1	CKS2	0.8014838326164767	GSE62232_hep_carci
CALCRL	COL15A1	0.8332222925595808	GSE62232_hep_carci
AEBP1	COL1A1	0.8530321906455898	GSE62232_hep_carci
ASPN	COL1A1	0.8566782784592187	GSE62232_hep_carci
BGN	COL1A1	0.84683830171635055	GSE62232_hep_carci
CCDC80	COL1A1	0.8302713445803099	GSE62232_hep_carci
AEBP1	COL1A2	0.8624505983849249	GSE62232_hep_carci
ASPN	COL1A2	0.8804250249972357	GSE62232_hep_carci
BGN	COL1A2	0.8748419150858175	GSE62232_hep_carci
CCDC102B	COL1A2	0.8170744810293424	GSE62232_hep_carci
CCDC80	COL1A2	0.831366659568128	GSE62232_hep_carci
COL1A1	COL1A2	0.9850948509485095	GSE62232_hep_carci
AEBP1	COL3A1	0.8887860022795647	GSE62232_hep_carci
APLNR	COL3A1	0.816735195842516	GSE62232_hep_carci
ASPN	COL3A1	0.9410283481876958	GSE62232_hep_carci
BGN	COL3A1	0.9125112917795845	GSE62232_hep_carci
C11orf96	COL3A1	0.8021522619990951	GSE62232_hep_carci
CCDC102B	COL3A1	0.8432197788043807	GSE62232_hep_carci
CCDC80	COL3A1	0.8632211294715806	GSE62232_hep_carci
COL1A1	COL3A1	0.9477190605239386	GSE62232_hep_carci
COL1A2	COL3A1	0.9646793134598014	GSE62232_hep_carci
ASPN	COL4A1	0.8068360819690584	GSE62232_hep_carci
CDC42EP5	COL4A1	0.8131498886144671	GSE62232_hep_carci
COL15A1	COL4A1	0.8779628493470616	GSE62232_hep_carci
COL1A1	COL4A1	0.8187443541102077	GSE62232_hep_carci
COL1A2	COL4A1	0.8382113821138211	GSE62232_hep_carci
COL3A1	COL4A1	0.8477642276422764	GSE62232_hep_carci
ASPN	COL4A2	0.8075926354726471	GSE62232_hep_carci
CDC42EP5	COL4A2	0.8368813308148559	GSE62232_hep_carci
COL15A1	COL4A2	0.8226412976807645	GSE62232_hep_carci
COL1A1	COL4A2	0.8477190605239385	GSE62232_hep_carci
COL1A2	COL4A2	0.8662149954832882	GSE62232_hep_carci
COL3A1	COL4A2	0.8765582655826558	GSE62232_hep_carci
COL4A1	COL4A2	0.9531391147244805	GSE62232_hep_carci
AEBP1	COL5A1	0.8969508809312905	GSE62232_hep_carci
APLNR	COL5A1	0.8116981520306079	GSE62232_hep_carci
ASPN	COL5A1	0.9106758732974485	GSE62232_hep_carci
BGN	COL5A1	0.9086720867208672	GSE62232_hep_carci
