from	to	value	id
ACOT12	AGXT2	0.9272727272727271	GSE62232_Non_tumoral
AGXT	AGXT2	0.903030303030303	GSE62232_Non_tumoral
AADAC	AHSG	0.8909090909090908	GSE62232_Non_tumoral
ABCG5	AHSG	0.8909090909090908	GSE62232_Non_tumoral
ACAA1	AHSG	0.8424242424242423	GSE62232_Non_tumoral
ACSS3	AHSG	0.8545454545454544	GSE62232_Non_tumoral
AFP	AHSG	0.8389096502784892	GSE62232_Non_tumoral
ADM	AIM1	-0.8510677611520904	GSE62232_Non_tumoral
ABRACL	AK021804	-0.8389096502784892	GSE62232_Non_tumoral
ADRB2	AK021804	0.8085143730944859	GSE62232_Non_tumoral
ABCB11	AK025288	-0.8181818181818181	GSE62232_Non_tumoral
ABCG1	AK025288	0.806060606060606	GSE62232_Non_tumoral
AGPAT5	AKAP12	0.8424242424242423	GSE62232_Non_tumoral
AASS	AKR1C1	0.806060606060606	GSE62232_Non_tumoral
ADIRF	AKR1C1	-0.8666666666666666	GSE62232_Non_tumoral
ABLIM3	AKR1C3	-0.8666666666666666	GSE62232_Non_tumoral
ACAA1	AKR1C3	0.9272727272727271	GSE62232_Non_tumoral
ACOT12	AKR1C3	0.9515151515151513	GSE62232_Non_tumoral
ACSS3	AKR1C3	0.806060606060606	GSE62232_Non_tumoral
AGXT	AKR1C3	0.915151515151515	GSE62232_Non_tumoral
AGXT2	AKR1C3	0.9515151515151513	GSE62232_Non_tumoral
ABCA6	AKR1C4	0.8787878787878787	GSE62232_Non_tumoral
ABCG5	AKR1C4	0.806060606060606	GSE62232_Non_tumoral
ACAA1	AKR1C4	0.8909090909090908	GSE62232_Non_tumoral
ACOT12	AKR1C4	0.8909090909090908	GSE62232_Non_tumoral
ACSS3	AKR1C4	0.8424242424242423	GSE62232_Non_tumoral
AFM	AKR1C4	0.8545454545454544	GSE62232_Non_tumoral
AGXT	AKR1C4	0.8666666666666666	GSE62232_Non_tumoral
AGXT2	AKR1C4	0.8666666666666666	GSE62232_Non_tumoral
AHSG	AKR1C4	0.806060606060606	GSE62232_Non_tumoral
AKR1C3	AKR1C4	0.915151515151515	GSE62232_Non_tumoral
ABLIM3	AKR1D1	0.806060606060606	GSE62232_Non_tumoral
ADRB2	AKR7A3	0.8181818181818181	GSE62232_Non_tumoral
AF070581	AKR7A3	0.8353813836471727	GSE62232_Non_tumoral
AGBL2	AKR7A3	0.8545454545454544	GSE62232_Non_tumoral
AGXT2	AKR7A3	0.806060606060606	GSE62232_Non_tumoral
AKR1C3	AKR7A3	0.806060606060606	GSE62232_Non_tumoral
ACSM2A	ALAS1	0.915151515151515	GSE62232_Non_tumoral
ABAT	ALDH1A1	0.8424242424242423	GSE62232_Non_tumoral
AFM	ALDH1A1	0.8303030303030301	GSE62232_Non_tumoral
ABCG1	ALDH1L1	-0.806060606060606	GSE62232_Non_tumoral
ADRB2	ALDH1L1	-0.8181818181818181	GSE62232_Non_tumoral
AF070581	ALDH1L1	-0.8536744066467459	GSE62232_Non_tumoral
AGBL2	ALDH1L1	-0.8666666666666666	GSE62232_Non_tumoral
AKR7A3	ALDH1L1	-0.8787878787878787	GSE62232_Non_tumoral
ABAT	ALDH6A1	0.806060606060606	GSE62232_Non_tumoral
AGR2	ALDH6A1	-0.9272727272727271	GSE62232_Non_tumoral
ADH4	ALDOB	0.8424242424242423	GSE62232_Non_tumoral
ACOT12	ALPK2	0.8787878787878787	GSE62232_Non_tumoral
AF070581	ALPK2	0.8170883606475996	GSE62232_Non_tumoral
AGBL2	ALPK2	0.8424242424242423	GSE62232_Non_tumoral
AGXT	ALPK2	0.903030303030303	GSE62232_Non_tumoral
AGXT2	ALPK2	0.8181818181818181	GSE62232_Non_tumoral
AASS	AMDHD1	0.9272727272727271	GSE62232_Non_tumoral
ACMSD	AMDHD1	0.8424242424242423	GSE62232_Non_tumoral
ADIRF	AMDHD1	-0.8545454545454544	GSE62232_Non_tumoral
ADRB2	AMDHD1	-0.806060606060606	GSE62232_Non_tumoral
AKR1C1	AMDHD1	0.915151515151515	GSE62232_Non_tumoral
ABCB4	AMFR	0.806060606060606	GSE62232_Non_tumoral
ADH1A	AMFR	0.8666666666666666	GSE62232_Non_tumoral
AGPAT5	AMFR	-0.8424242424242423	GSE62232_Non_tumoral
ABCG5	AMIGO2	-0.8206724839680872	GSE62232_Non_tumoral
ABCG8	AMIGO2	-0.8936211492096948	GSE62232_Non_tumoral
ACSS3	AMIGO2	-0.8206724839680872	GSE62232_Non_tumoral
ALDH1A1	ANG	0.8787878787878787	GSE62232_Non_tumoral
ACOT12	ANGPTL1	0.8303030303030301	GSE62232_Non_tumoral
ADH6	ANGPTL1	0.8181818181818181	GSE62232_Non_tumoral
AGBL2	ANGPTL1	0.8181818181818181	GSE62232_Non_tumoral
AGXT2	ANGPTL1	0.8666666666666666	GSE62232_Non_tumoral
AKR1C3	ANGPTL1	0.8787878787878787	GSE62232_Non_tumoral
AKR7A3	ANGPTL1	0.9272727272727271	GSE62232_Non_tumoral
ALDH1L1	ANGPTL1	-0.806060606060606	GSE62232_Non_tumoral
ALPK2	ANGPTL1	0.806060606060606	GSE62232_Non_tumoral
ABAT	ANGPTL3	0.8666666666666666	GSE62232_Non_tumoral
AFM	ANGPTL3	0.9272727272727271	GSE62232_Non_tumoral
ALDH1A1	ANGPTL3	0.9515151515151513	GSE62232_Non_tumoral
AF070581	ANKRD22	0.8048930119812174	GSE62232_Non_tumoral
AGBL2	ANKRD22	0.8545454545454544	GSE62232_Non_tumoral
AGXT2	ANKRD22	0.8666666666666666	GSE62232_Non_tumoral
AKR1C3	ANKRD22	0.806060606060606	GSE62232_Non_tumoral
AKR7A3	ANKRD22	0.8787878787878787	GSE62232_Non_tumoral
ALDH1L1	ANKRD22	-0.8787878787878787	GSE62232_Non_tumoral
ANGPTL1	ANKRD22	0.806060606060606	GSE62232_Non_tumoral
ABCG1	ANKRD29	0.806060606060606	GSE62232_Non_tumoral
ABLIM3	ANKRD29	-0.8181818181818181	GSE62232_Non_tumoral
ACOT12	ANKRD29	0.8181818181818181	GSE62232_Non_tumoral
AF070581	ANKRD29	0.87806510397951	GSE62232_Non_tumoral
AGBL2	ANKRD29	0.8303030303030301	GSE62232_Non_tumoral
AHR	ANKRD29	-0.806060606060606	GSE62232_Non_tumoral
AKR7A3	ANKRD29	0.8181818181818181	GSE62232_Non_tumoral
ALDH1L1	ANKRD29	-0.8303030303030301	GSE62232_Non_tumoral
ANKRD22	ANKRD29	0.8181818181818181	GSE62232_Non_tumoral
ACAA1	ANKRD35	0.9146511499786564	GSE62232_Non_tumoral
ACE2	ANKRD35	-0.8109906863144086	GSE62232_Non_tumoral
ACOT12	ANKRD35	0.8292837093139817	GSE62232_Non_tumoral
ACSS3	ANKRD35	0.8231860349807907	GSE62232_Non_tumoral
AGXT	ANKRD35	0.8475767323135548	GSE62232_Non_tumoral
AGXT2	ANKRD35	0.8597720809799368	GSE62232_Non_tumoral
AKR1C3	ANKRD35	0.8536744066467459	GSE62232_Non_tumoral
AKR1C4	ANKRD35	0.871967429646319	GSE62232_Non_tumoral
ABCG1	ANKRD36B	0.8424242424242423	GSE62232_Non_tumoral
ADIRF	ANKRD36B	0.8424242424242423	GSE62232_Non_tumoral
ADRB2	ANKRD36B	0.8787878787878787	GSE62232_Non_tumoral
AF070581	ANKRD36B	0.8109906863144086	GSE62232_Non_tumoral
AKR7A3	ANKRD36B	0.8787878787878787	GSE62232_Non_tumoral
ALDH1L1	ANKRD36B	-0.8181818181818181	GSE62232_Non_tumoral
ANKRD22	ANKRD36B	0.8181818181818181	GSE62232_Non_tumoral
ANKRD29	ANKRD36B	0.806060606060606	GSE62232_Non_tumoral
ABHD15	ANO1	0.8181818181818181	GSE62232_Non_tumoral
ACADSB	ANO1	0.8424242424242423	GSE62232_Non_tumoral
ACSL5	ANO1	0.806060606060606	GSE62232_Non_tumoral
ACSM2B	ANO1	0.8545454545454544	GSE62232_Non_tumoral
ADH6	ANO1	0.8545454545454544	GSE62232_Non_tumoral
ADIRF	ANO1	0.8909090909090908	GSE62232_Non_tumoral
ADRB2	ANO1	0.8303030303030301	GSE62232_Non_tumoral
AEBP1	ANO1	-0.8510677611520904	GSE62232_Non_tumoral
AGPAT9	ANO1	-0.8181818181818181	GSE62232_Non_tumoral
