from	to	value	id
C4BPA	C4BPB	0.8796027501909855	GSE56140_cirr
APOH	C6	0.814209320091673	GSE56140_cirr
AQP12A	C6	0.8820473644003055	GSE56140_cirr
C4BPA	C6	0.8343773873185638	GSE56140_cirr
C4BPB	C6	0.8539343009931245	GSE56140_cirr
ADAMTSL2	C7	0.8383498854087089	GSE56140_cirr
BBOX1	C7orf10	0.8053475935828877	GSE56140_cirr
A1CF	C7orf55	0.8047364400305576	GSE56140_cirr
ANXA5	C7orf55	-0.8032085561497326	GSE56140_cirr
BBOX1	C7orf55	0.8276546982429335	GSE56140_cirr
C7	C7orf55	-0.8517952635599694	GSE56140_cirr
ACSL1	C9	0.8068754774637127	GSE56140_cirr
APOH	C9	0.8334606569900688	GSE56140_cirr
BDH1	C9orf103	0.8035141329258977	GSE56140_cirr
ADH4	CAT	0.8606569900687547	GSE56140_cirr
ALDH2	CAT	0.8215431627196332	GSE56140_cirr
ALDH5A1	CAT	0.8200152788388082	GSE56140_cirr
AMBP	CAT	0.8765469824293353	GSE56140_cirr
C1orf225	CAT	-0.8166539343009931	GSE56140_cirr
C7orf23	CAT	-0.8120702826585179	GSE56140_cirr
C8orf55	CCDC106	0.8521008403361344	GSE56140_cirr
ADAMTSL2	CCDC146	0.8600458365164246	GSE56140_cirr
ADCY3	CCDC146	0.8209320091673032	GSE56140_cirr
AEBP1	CCDC146	0.893048128342246	GSE56140_cirr
BGN	CCDC146	0.8548510313216194	GSE56140_cirr
C1orf198	CCDC146	0.893353705118411	GSE56140_cirr
ADAMTSL2	CCDC3	0.816042780748663	GSE56140_cirr
ADCY3	CCDC3	0.8484339190221544	GSE56140_cirr
AEBP1	CCDC3	0.8566844919786095	GSE56140_cirr
APOD	CCDC3	0.8108479755538578	GSE56140_cirr
ARHGEF2	CCDC3	0.8264323911382735	GSE56140_cirr
BGN	CCDC3	0.8643239113827349	GSE56140_cirr
BHLHB5	CCDC3	0.86768525592055	GSE56140_cirr
C16orf30	CCDC3	0.8261268143621084	GSE56140_cirr
C1orf198	CCDC3	0.8997708174178762	GSE56140_cirr
C1orf59	CCDC3	0.8080977845683728	GSE56140_cirr
CCL3	CCL3L3	0.8411000763941939	GSE56140_cirr
ARHGEF6	CCL5	0.8166539343009931	GSE56140_cirr
ALOX5AP	CCND2	0.8041252864782277	GSE56140_cirr
C1QC	CD163	0.8212375859434682	GSE56140_cirr
ALOX5AP	CD2	0.8802139037433154	GSE56140_cirr
ARHGDIB	CD2	0.8441558441558442	GSE56140_cirr
CCL5	CD2	0.8294881588999234	GSE56140_cirr
ASS1	CD24	-0.8172650878533231	GSE56140_cirr
ARHGEF6	CD247	0.87012987012987	GSE56140_cirr
AEBP1	CD248	0.8637127578304049	GSE56140_cirr
BGN	CD248	0.8554621848739495	GSE56140_cirr
CCDC146	CD248	0.8313216195569136	GSE56140_cirr
CD2	CD52	0.8059587471352176	GSE56140_cirr
ALOX5AP	CD6	0.8624904507257448	GSE56140_cirr
ARHGEF2	CD6	0.8239877769289534	GSE56140_cirr
CCL19	CD6	0.8267379679144384	GSE56140_cirr
CD2	CD6	0.8597402597402596	GSE56140_cirr
AKR1C4	CD74	-0.8080977845683728	GSE56140_cirr
ARHGDIB	CD8A	0.8044308632543926	GSE56140_cirr
CCL5	CD8A	0.8337662337662338	GSE56140_cirr
CD2	CD8A	0.8349885408708937	GSE56140_cirr
ALOX5AP	CD96	0.8988540870893812	GSE56140_cirr
ARHGEF6	CD96	0.8530175706646295	GSE56140_cirr
CCL5	CD96	0.8304048892284186	GSE56140_cirr
CCND2	CD96	0.86401833460657	GSE56140_cirr
CD2	CD96	0.8829640947288006	GSE56140_cirr
CD6	CD96	0.8594346829640948	GSE56140_cirr
CCNF	CDCA5	0.812681436210848	GSE56140_cirr
CCNB2	CDKN3	0.8328495034377387	GSE56140_cirr
A2M	CDO1	0.8071810542398777	GSE56140_cirr
ACADM	CDO1	0.8847975553857907	GSE56140_cirr
ACSL1	CDO1	0.8481283422459893	GSE56140_cirr
AHSG	CDO1	0.813292589763178	GSE56140_cirr
AIG1	CDO1	0.813292589763178	GSE56140_cirr
APOH	CDO1	0.8976317799847211	GSE56140_cirr
AQP12A	CDO1	0.8025974025974025	GSE56140_cirr
C4BPB	CDO1	0.8227654698242933	GSE56140_cirr
ADCY3	CDR2L	0.8242933537051185	GSE56140_cirr
BRP44L	CFH	0.8105423987776929	GSE56140_cirr
A2M	CFHR2	0.8331550802139037	GSE56140_cirr
ABCA8	CFHR3	0.812987012987013	GSE56140_cirr
ACAD11	CFHR3	0.8239877769289534	GSE56140_cirr
CFHR1	CFHR3	0.838961038961039	GSE56140_cirr
AIG1	CFI	0.839266615737204	GSE56140_cirr
ASGR1	CFI	0.8456837280366691	GSE56140_cirr
C1orf106	CFI	-0.8334606569900688	GSE56140_cirr
ADAMTSL2	CFTR	0.8297937356760885	GSE56140_cirr
ADCY3	CFTR	0.8560733384262795	GSE56140_cirr
AEBP1	CFTR	0.8505729564553093	GSE56140_cirr
ARHGEF2	CFTR	0.8634071810542399	GSE56140_cirr
BGN	CFTR	0.8881588999236057	GSE56140_cirr
BHLHB5	CFTR	0.8019862490450725	GSE56140_cirr
C1orf198	CFTR	0.8395721925133689	GSE56140_cirr
CCDC146	CFTR	0.8304048892284186	GSE56140_cirr
CCDC3	CFTR	0.8502673796791443	GSE56140_cirr
ARHGAP4	CHFR	0.8111535523300228	GSE56140_cirr
BOK	CHST13	0.8029029793735676	GSE56140_cirr
ADAMTSL2	CHST4	0.8258212375859434	GSE56140_cirr
ADCY3	CHST4	0.8270435446906035	GSE56140_cirr
AEBP1	CHST4	0.8328495034377387	GSE56140_cirr
ALDH7A1	CHST4	-0.8068754774637127	GSE56140_cirr
BGN	CHST4	0.9089381207028265	GSE56140_cirr
C1orf106	CHST4	0.8426279602750191	GSE56140_cirr
C1orf198	CHST4	0.8401833460656989	GSE56140_cirr
CCDC146	CHST4	0.8062643239113827	GSE56140_cirr
CCDC3	CHST4	0.868601986249045	GSE56140_cirr
CD248	CHST4	0.8087089381207029	GSE56140_cirr
CFTR	CHST4	0.8105423987776929	GSE56140_cirr
CAPN5	CKAP4	-0.8114591291061879	GSE56140_cirr
ADAMTSL2	CLDN10	0.8478227654698243	GSE56140_cirr
AEBP1	CLDN10	0.816042780748663	GSE56140_cirr
BGN	CLDN10	0.8854087089381206	GSE56140_cirr
C16orf30	CLDN10	0.8300993124522535	GSE56140_cirr
C1orf198	CLDN10	0.8472116119174943	GSE56140_cirr
CCDC146	CLDN10	0.8190985485103133	GSE56140_cirr
CCDC3	CLDN10	0.8032085561497326	GSE56140_cirr
CFTR	CLDN10	0.8374331550802139	GSE56140_cirr
CHST4	CLDN10	0.895798319327731	GSE56140_cirr
ANXA2	CLDN7	0.814820473644003	GSE56140_cirr
CAT	CLDN7	-0.8013750954927426	GSE56140_cirr
AIG1	CLEC11A	-0.866768525592055	GSE56140_cirr
APOH	CLEC11A	-0.925439266615737	GSE56140_cirr
C16orf30	CLEC11A	0.8585179526355997	GSE56140_cirr
C8orf55	CLEC11A	-0.8038197097020626	GSE56140_cirr
CDO1	CLEC11A	-0.812681436210848	GSE56140_cirr
AGXT2L1	CLIC1	-0.8181818181818182	GSE56140_cirr
ADAMTSL2	CLIC6	0.8774637127578304	GSE56140_cirr
ADCY3	CLIC6	0.8209320091673032	GSE56140_cirr
AEBP1	CLIC6	0.8869365928189457	GSE56140_cirr
BGN	CLIC6	0.9339954163483575	GSE56140_cirr
C1orf106	CLIC6	0.8679908326967151	GSE56140_cirr
C1orf198	CLIC6	0.9193277310924369	GSE56140_cirr
CCDC146	CLIC6	0.8924369747899159	GSE56140_cirr
CCDC3	CLIC6	0.8627960275019099	GSE56140_cirr
CD248	CLIC6	0.8218487394957983	GSE56140_cirr
CFTR	CLIC6	0.893659281894576	GSE56140_cirr
CHST4	CLIC6	0.8912146676852558	GSE56140_cirr
CLDN10	CLIC6	0.9101604278074865	GSE56140_cirr
ADAMTSL2	CLIP3	0.8866310160427807	GSE56140_cirr
ADCY3	CLIP3	0.8988540870893812	GSE56140_cirr
ANGPTL2	CLIP3	0.8560733384262795	GSE56140_cirr
ARHGEF2	CLIP3	0.8475171886936592	GSE56140_cirr
BGN	CLIP3	0.8065699006875477	GSE56140_cirr
BHLHB5	CLIP3	0.8563789152024446	GSE56140_cirr
CCDC3	CLIP3	0.8056531703590526	GSE56140_cirr
CD6	CLIP3	0.8050420168067226	GSE56140_cirr
A1CF	CMBL	0.841405653170359	GSE56140_cirr
C7orf55	CMBL	0.8010695187165775	GSE56140_cirr
A1CF	CMTM8	0.8453781512605041	GSE56140_cirr
AKR1CL1	CMTM8	0.8725744843391902	GSE56140_cirr
C1orf225	COBLL1	-0.8282658517952636	GSE56140_cirr
ADAMTSL2	COL16A1	0.8786860198624904	GSE56140_cirr
